id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId,last_updated
101013,20020131,1,900000000000207008,126813005,en,900000000000013009,Neoplasm of anterior aspect of epiglottis,900000000000020002,2025-09-12 18:23:43
101013,20170731,1,900000000000207008,126813005,en,900000000000013009,Neoplasm of anterior aspect of epiglottis,900000000000448009,2025-09-12 18:23:43
102018,20020131,1,900000000000207008,126814004,en,900000000000013009,Neoplasm of junctional region of epiglottis,900000000000020002,2025-09-12 18:23:43
102018,20170731,1,900000000000207008,126814004,en,900000000000013009,Neoplasm of junctional region of epiglottis,900000000000448009,2025-09-12 18:23:43
103011,20020131,1,900000000000207008,126815003,en,900000000000013009,Neoplasm of lateral wall of oropharynx,900000000000020002,2025-09-12 18:23:43
103011,20170731,1,900000000000207008,126815003,en,900000000000013009,Neoplasm of lateral wall of oropharynx,900000000000448009,2025-09-12 18:23:43
104017,20020131,1,900000000000207008,126816002,en,900000000000013009,Neoplasm of posterior wall of oropharynx,900000000000020002,2025-09-12 18:23:43
104017,20170731,1,900000000000207008,126816002,en,900000000000013009,Neoplasm of posterior wall of oropharynx,900000000000448009,2025-09-12 18:23:43
105016,20020131,1,900000000000207008,126817006,en,900000000000013009,Neoplasm of esophagus,900000000000020002,2025-09-12 18:23:43
105016,20170731,1,900000000000207008,126817006,en,900000000000013009,Neoplasm of esophagus,900000000000448009,2025-09-12 18:23:43
106015,20020131,1,900000000000207008,126818001,en,900000000000013009,Neoplasm of cervical esophagus,900000000000020002,2025-09-12 18:23:43
106015,20170731,1,900000000000207008,126818001,en,900000000000013009,Neoplasm of cervical esophagus,900000000000448009,2025-09-12 18:23:43
107012,20020131,1,900000000000207008,126819009,en,900000000000013009,Neoplasm of thoracic esophagus,900000000000020002,2025-09-12 18:23:43
107012,20170731,1,900000000000207008,126819009,en,900000000000013009,Neoplasm of thoracic esophagus,900000000000448009,2025-09-12 18:23:43
108019,20020131,1,900000000000207008,126820003,en,900000000000013009,Neoplasm of abdominal esophagus,900000000000020002,2025-09-12 18:23:43
108019,20170731,1,900000000000207008,126820003,en,900000000000013009,Neoplasm of abdominal esophagus,900000000000448009,2025-09-12 18:23:43
110017,20020131,1,900000000000207008,126822006,en,900000000000013009,Neoplasm of middle third of esophagus,900000000000020002,2025-09-12 18:23:43
110017,20170731,1,900000000000207008,126822006,en,900000000000013009,Neoplasm of middle third of esophagus,900000000000448009,2025-09-12 18:23:43
111018,20020131,1,900000000000207008,126823001,en,900000000000013009,Neoplasm of lower third of esophagus,900000000000020002,2025-09-12 18:23:43
111018,20170731,1,900000000000207008,126823001,en,900000000000013009,Neoplasm of lower third of esophagus,900000000000448009,2025-09-12 18:23:43
112013,20020131,1,900000000000207008,126824007,en,900000000000013009,Neoplasm of stomach,900000000000020002,2025-09-12 18:23:43
112013,20170731,1,900000000000207008,126824007,en,900000000000013009,Neoplasm of stomach,900000000000448009,2025-09-12 18:23:43
113015,20020131,1,900000000000207008,126825008,en,900000000000013009,Neoplasm of cardia of stomach,900000000000020002,2025-09-12 18:23:43
113015,20170731,1,900000000000207008,126825008,en,900000000000013009,Neoplasm of cardia of stomach,900000000000448009,2025-09-12 18:23:43
114014,20020131,1,900000000000207008,126826009,en,900000000000013009,Neoplasm of fundus of stomach,900000000000020002,2025-09-12 18:23:43
114014,20170731,1,900000000000207008,126826009,en,900000000000013009,Neoplasm of fundus of stomach,900000000000448009,2025-09-12 18:23:43
115010,20020131,1,900000000000207008,126827000,en,900000000000013009,Neoplasm of body of stomach,900000000000020002,2025-09-12 18:23:43
115010,20170731,1,900000000000207008,126827000,en,900000000000013009,Neoplasm of body of stomach,900000000000448009,2025-09-12 18:23:43
116011,20020131,1,900000000000207008,126828005,en,900000000000013009,Neoplasm of lesser curvature of stomach,900000000000020002,2025-09-12 18:23:43
116011,20170731,1,900000000000207008,126828005,en,900000000000013009,Neoplasm of lesser curvature of stomach,900000000000448009,2025-09-12 18:23:43
117019,20020131,1,900000000000207008,126829002,en,900000000000013009,Neoplasm of greater curvature of stomach,900000000000020002,2025-09-12 18:23:43
117019,20170731,1,900000000000207008,126829002,en,900000000000013009,Neoplasm of greater curvature of stomach,900000000000448009,2025-09-12 18:23:43
118012,20020131,1,900000000000207008,126830007,en,900000000000013009,Neoplasm of pyloric antrum,900000000000020002,2025-09-12 18:23:43
118012,20170731,1,900000000000207008,126830007,en,900000000000013009,Neoplasm of pyloric antrum,900000000000448009,2025-09-12 18:23:43
119016,20020131,1,900000000000207008,126831006,en,900000000000013009,Neoplasm of pylorus,900000000000020002,2025-09-12 18:23:43
119016,20170731,1,900000000000207008,126831006,en,900000000000013009,Neoplasm of pylorus,900000000000448009,2025-09-12 18:23:43
120010,20020131,1,900000000000207008,126832004,en,900000000000013009,Neoplasm of small intestine,900000000000020002,2025-09-12 18:23:43
120010,20170731,1,900000000000207008,126832004,en,900000000000013009,Neoplasm of small intestine,900000000000448009,2025-09-12 18:23:43
121014,20020131,1,900000000000207008,126833009,en,900000000000013009,Neoplasm of duodenum,900000000000020002,2025-09-12 18:23:43
121014,20170731,1,900000000000207008,126833009,en,900000000000013009,Neoplasm of duodenum,900000000000448009,2025-09-12 18:23:43
122019,20020131,1,900000000000207008,126834003,en,900000000000013009,Neoplasm of jejunum,900000000000020002,2025-09-12 18:23:43
122019,20170731,1,900000000000207008,126834003,en,900000000000013009,Neoplasm of jejunum,900000000000448009,2025-09-12 18:23:43
123012,20020131,1,900000000000207008,126835002,en,900000000000013009,Neoplasm of ileum,900000000000020002,2025-09-12 18:23:43
123012,20170731,1,900000000000207008,126835002,en,900000000000013009,Neoplasm of ileum,900000000000448009,2025-09-12 18:23:43
124018,20020131,1,900000000000207008,126836001,en,900000000000013009,Neoplasm of Meckel's diverticulum,900000000000020002,2025-09-12 18:23:43
125017,20020131,1,900000000000207008,126837005,en,900000000000013009,Neoplasm of large intestine,900000000000020002,2025-09-12 18:23:43
125017,20170731,1,900000000000207008,126837005,en,900000000000013009,Neoplasm of large intestine,900000000000448009,2025-09-12 18:23:43
126016,20020131,1,900000000000207008,126838000,en,900000000000013009,Neoplasm of colon,900000000000020002,2025-09-12 18:23:43
126016,20170731,1,900000000000207008,126838000,en,900000000000013009,Neoplasm of colon,900000000000448009,2025-09-12 18:23:43
127013,20020131,1,900000000000207008,126839008,en,900000000000013009,Neoplasm of cecum,900000000000020002,2025-09-12 18:23:43
127013,20170731,1,900000000000207008,126839008,en,900000000000013009,Neoplasm of cecum,900000000000448009,2025-09-12 18:23:43
128015,20020131,1,900000000000207008,126840005,en,900000000000013009,Neoplasm of ascending colon,900000000000020002,2025-09-12 18:23:43
128015,20170731,1,900000000000207008,126840005,en,900000000000013009,Neoplasm of ascending colon,900000000000448009,2025-09-12 18:23:43
129011,20020131,1,900000000000207008,126841009,en,900000000000013009,Neoplasm of hepatic flexure of colon,900000000000020002,2025-09-12 18:23:43
129011,20170731,1,900000000000207008,126841009,en,900000000000013009,Neoplasm of hepatic flexure of colon,900000000000448009,2025-09-12 18:23:43
130018,20020131,1,900000000000207008,126842002,en,900000000000013009,Neoplasm of transverse colon,900000000000020002,2025-09-12 18:23:43
130018,20170731,1,900000000000207008,126842002,en,900000000000013009,Neoplasm of transverse colon,900000000000448009,2025-09-12 18:23:43
131019,20020131,1,900000000000207008,126843007,en,900000000000013009,Neoplasm of splenic flexure of colon,900000000000020002,2025-09-12 18:23:43
131019,20170731,1,900000000000207008,126843007,en,900000000000013009,Neoplasm of splenic flexure of colon,900000000000448009,2025-09-12 18:23:43
132014,20020131,1,900000000000207008,126844001,en,900000000000013009,Neoplasm of descending colon,900000000000020002,2025-09-12 18:23:43
132014,20170731,1,900000000000207008,126844001,en,900000000000013009,Neoplasm of descending colon,900000000000448009,2025-09-12 18:23:43
133016,20020131,1,900000000000207008,126845000,en,900000000000013009,Neoplasm of sigmoid colon,900000000000020002,2025-09-12 18:23:43
133016,20170731,1,900000000000207008,126845000,en,900000000000013009,Neoplasm of sigmoid colon,900000000000448009,2025-09-12 18:23:43
134010,20020131,1,900000000000207008,126846004,en,900000000000013009,Neoplasm of appendix,900000000000020002,2025-09-12 18:23:43
134010,20170731,1,900000000000207008,126846004,en,900000000000013009,Neoplasm of appendix,900000000000448009,2025-09-12 18:23:43
135011,20020131,1,900000000000207008,126847008,en,900000000000013009,Neoplasm of rectum,900000000000020002,2025-09-12 18:23:43
135011,20170731,1,900000000000207008,126847008,en,900000000000013009,Neoplasm of rectum,900000000000448009,2025-09-12 18:23:43
136012,20020131,1,900000000000207008,126848003,en,900000000000013009,Neoplasm of rectosigmoid junction,900000000000020002,2025-09-12 18:23:43
136012,20170731,1,900000000000207008,126848003,en,900000000000013009,Neoplasm of rectosigmoid junction,900000000000448009,2025-09-12 18:23:43
137015,20020131,1,900000000000207008,126849006,en,900000000000013009,Neoplasm of anus,900000000000020002,2025-09-12 18:23:43
137015,20170731,1,900000000000207008,126849006,en,900000000000013009,Neoplasm of anus,900000000000448009,2025-09-12 18:23:43
138013,20020131,1,900000000000207008,126850006,en,900000000000013009,Neoplasm of anal canal,900000000000020002,2025-09-12 18:23:43
138013,20170731,1,900000000000207008,126850006,en,900000000000013009,Neoplasm of anal canal,900000000000448009,2025-09-12 18:23:43
139017,20020131,1,900000000000207008,126851005,en,900000000000013009,Neoplasm of liver,900000000000020002,2025-09-12 18:23:43
139017,20170731,1,900000000000207008,126851005,en,900000000000013009,Neoplasm of liver,900000000000448009,2025-09-12 18:23:43
140015,20020131,1,900000000000207008,126852003,en,900000000000013009,Neoplasm of intrahepatic bile ducts,900000000000020002,2025-09-12 18:23:43
140015,20170731,1,900000000000207008,126852003,en,900000000000013009,Neoplasm of intrahepatic bile ducts,900000000000448009,2025-09-12 18:23:43
141016,20020131,1,900000000000207008,126853008,en,900000000000013009,Neoplasm of biliary tract,900000000000020002,2025-09-12 18:23:43
141016,20170731,1,900000000000207008,126853008,en,900000000000013009,Neoplasm of biliary tract,900000000000448009,2025-09-12 18:23:43
142011,20020131,1,900000000000207008,126854002,en,900000000000013009,Neoplasm of gallbladder,900000000000020002,2025-09-12 18:23:43
142011,20170731,1,900000000000207008,126854002,en,900000000000013009,Neoplasm of gallbladder,900000000000448009,2025-09-12 18:23:43
143018,20020131,1,900000000000207008,126855001,en,900000000000013009,Neoplasm of extrahepatic bile ducts,900000000000020002,2025-09-12 18:23:43
143018,20170731,1,900000000000207008,126855001,en,900000000000013009,Neoplasm of extrahepatic bile ducts,900000000000448009,2025-09-12 18:23:43
144012,20020131,1,900000000000207008,126856000,en,900000000000013009,Neoplasm of cystic duct,900000000000020002,2025-09-12 18:23:43
